Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/28/2023 2:20:35,Lance Cole,Reworked - Alpha Mask,https://editor.p5js.org/malayvasa2001/sketches/CARbnWpzw,36,"object literal, method calling","custom variables, method calling","background, createCanvas, draw, fill, image, LEFT, loadImage, preload, setup, text, textAlign, textSize, TOP","background, createCanvas, draw, fill, image, LEFT, loadImage, preload, setup, text, textAlign, textSize",none of the above,,Visual,Depends on mask/bg images used,Yes,No,No,,No,,,,,,,,2,,,,,,,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,3,0,0,0,No,No,Beginner,,6,
10/28/2023 1:51:04,Lance cole,Reworked - Transparency,https://editor.p5js.org/malayvasa2001/sketches/FHFm3jHQv,26,"custom variables, method calling","custom variables, method calling","CENTER, createCanvas, draw, height, image, imageMode, loadImage, mouseX, preload, setup, tint, width","createCanvas, draw, height, image, imageMode, loadImage, mouseX, preload, setup, tint, width","animation, interactivity",,"Visual, Interactive/Kinesthetic",No,Yes,Yes,No,"Could stand to be a bit less transparent, along, w/ maybe a more constract-y picture.",No,,,,,,,,2,,,,,,,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Beginner,,7,
10/31/2023 20:40:37,Lance Cole,Reworked Lines,https://editor.p5js.org/malayvasa2001/sketches/MgithbMo6,19,"custom variables, method calling","custom variables, method calling","angleMode, background, cos, createCanvas, DEGREES, draw, frameCount, line, setup, sin","angleMode, background, cos, createCanvas, DEGREES, draw, frameCount, line, setup, sin","animation, data visualization, math",,Visual,Yes,Yes,Yes,No,"The lines could potentially stand to be a bit thicker through strokeWeight, and perhaps direct the user to mess around with it as well to their liking.",No,,,,,,,,1,,,,,,,1,,No,4,No,No,,No,No,Degrees,angleMode,0,4,0,0,No,No,Beginner,"Understanding the math likely would be harder than the patch itself, but it would depends on adding many more comments than it has now.",6,
10/29/2023 20:55:03,Amy Chen,Rollover,https://p5js.org/examples/input-rollover.html,73,"if/else, custom variables, custom functions","if/else, custom functions","background, circle, color, createCanvas, draw, fill, height, mouseX, mouseY, noStroke, setup, sq, sqrt, square, stroke, width"," mouseX, mouseY, color",interactivity,,"Visual, Interactive/Kinesthetic",Yes,,,The interactivity of this can cause flashing white imagery if fast enough.,,No,,,,,,,,2,,,,,"Comments to explain lines 27, 36, 44, and 56 and their functions would helpful ",,2,The remixable portions are mainly the graphics ,Yes,5,No,No,,No,Yes,N/A,N/A or neither,9,0,0,0,No,No,Beginner,"If there is more documentation/ comments explaining this code, it would be more beginner friendly. ",8,
10/29/2023 15:04:06,Darren Kessner,Rotate,https://p5js.org/examples/transform-rotate.html,31,"if/else, custom variables","if/else, custom variables","background, CENTER, cos, createCanvas, draw, fill, height, noStroke, random, rect, rectMode, rotate, second, setup, translate, width",rotate,"animation, math",,Visual,Yes,Yes,Yes,Jitter produces flashing,,Yes,Grades 7 and above,rotate(),,,,Radian discussion does not belong here.  ,,5,,,,,,Jitter is unnecessary for this demo ,3,Demo would be clearer without the jitter,No,5,No,No,,No,No,Radians,N/A or neither,2,1,0,0,No,No,Intermediate,"Intermediate code, but can be made beginner level",5,
10/28/2023 11:03:45,Amy Chen,Saturation,https://p5js.org/examples/color-saturation.html,20,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","HSB, colorMode",none of the above,,Visual,Yes,No,,,,No,,,,,,,,4,,,,,Line 3 - Suggestion: Explain colorMode(HSB) like in line 15,,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/31/2023 12:19:59,Amy Chen,Saturation - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/D_diJGx3z,18,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","colorMode, fill, HSB",none of the above,,Visual,This is a gradient. ,No,,,,No,,,,,,,,4,,,,,"Line 3 - Since this is demoing color, explaining HSB would be beneficial
Line 14 - Adding a comment explaining how 'i' interacts with fill would be helpful",,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/29/2023 14:58:06,Darren Kessner,Scale,https://p5js.org/examples/transform-scale.html,37,custom variables,custom variables,"background, CENTER, cos, createCanvas, draw, fill, height, noStroke, rect, rectMode, scale, setup, translate, width","scale, translate, cos","animation, math",,Visual,Yes,Yes,Yes,this may be too much flashing,,Yes,Grades 7 and above,,,,,,,5,,,,,,"cos is irrelevant, and is confusing by introducing a negative scale;  translate is unnecessary -- a separate demo should show interaction between the transformations",4,"This example should be reworked, probably with no animation.",Yes,1,No,No,,No,No,N/A,N/A or neither,2,0,0,0,No,No,Intermediate,"This example is intermediate, but should be beginner.",2,
10/27/2023 14:07:22,Amy Chen,Setup and Draw,https://p5js.org/examples/structure-setup-and-draw.html,22,none of the above,none of the above,"background, createCanvas, draw, frameRate, height, line, setup, stroke, width","draw, frameRate, height",animation,,Visual,Yes,Yes,Yes,No,,No,,,,,,,,5,,,,,Line 17 - 21  Explanation on what the code is doing would be beneficial ,,1,,No,5,No,No,,No,No,N/A,N/A or neither,1,0,0,0,No,No,Beginner,,9,
10/29/2023 17:33:09,Caleb,Shader as a Texture,https://p5js.org/examples/3d-shader-as-a-texture.html,63,"custom variables, method calling",none of the above,"background, createCanvas, createGraphics, draw, ellipse, height, loadShader, map, millis, mouseX, mouseY, noStroke, pop, preload, push, rect, rotateX, rotateY, rotateZ, setup, shader, sphere, texture, translate, WEBGL, width","loadShader, shader, texture, WEBGL","3D, interactivity",,"Visual, Interactive/Kinesthetic",This is difficult to determin since the colors are built into the shader,Yes,Yes,Yes when moving the mouse,,Yes,Grade 5 and below,,,,,,,5,,,,,,rotation,4,,No,4,No,No,,No,No,Radians,N/A or neither,7,0,0,0,No,Yes,Advanced,,4,"Without the shader file, the user has to guess how the uniform values are operating"
10/29/2023 17:48:26,Caleb,Shader Using Webcam,https://p5js.org/examples/3d-shader-using-webcam.html,32,"custom variables, method calling",none of the above,"createCanvas, createCapture, draw, height, loadShader, noStroke, preload, rect, setup, shader, VIDEO, WEBGL, width","createCapture, loadShader, shader, VIDEO, WEBGL","3D, interactivity","media input, video",Visual,Difficult to determine because colors come from shader,Yes,Yes,"It looks like it could, depending on the video input",Requires a webcam,Yes,Grade 5 and below,,,,,,,5,,,,,,,4,,Yes,5,No,No,Vertex shader prevents matrix transformations like translate from working,No,No,N/A,N/A or neither,2,0,0,0,No,No,Advanced,,5,
10/24/2023 1:07:36,Kathryn,Shake Ball Bounce,https://p5js.org/examples/mobile-shake-ball-bounce.html,108,"if/else, for loop, custom variables, custom functions, custom classes","if/else, custom classes","abs, accelerationX, accelerationY, background, createCanvas, displayHeight, displayWidth, draw, ellipse, height, pAccelerationX, pAccelerationY, push, random, setup, width","accelerationX, accelerationY, displayHeight, displayWidth, pAccelerationX, pAccelerationY",interactivity,,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grades 7 and above,"accelerationX, accelerationY",,,,,,2,,Too short in style to be useful for people who are new to coding.,,,,,5,"Buggy, didn't work on my phone. Shouldn't be gatekept to just mobile devices.",Yes,2,No,No,,Yes,No,N/A,N/A or neither,5,2,4,6,No,Yes,Advanced,,5,"If it were better commented and not just for mobile, would have scored higher."
10/31/2023 12:35:08,Lance Cole,Shape Primitives,https://p5js.org/examples/form-shape-primitives.html,25,method calling,method calling,"arc, background, createCanvas, ellipse, fill, noStroke, PI, quad, rect, setup, triangle, TWO_PI","arc, background, createCanvas, ellipse, fill, noStroke, PI, quad, rect, setup, triangle, TWO_PI",math,"angles, radians, making shapes,",Visual,"It's scraping it with the dark grey square in the middle left. I would definitely lighten the color on that quite a bit, but the rest is fine enough.",No,No,No,,Yes,,"triangle(), rect(), quad(), ellipse(), arc()",,,,,"I would also link to the p5 pages on radians (PI, TWO_PI), and also potentially to fill(), createCanvas(), etc, depending on how early on the viewer is expected to get to this sketch.",2,,,,,"If the intro paragraph is changed to link to the corresponding p5 pages on things like fill, triangle, etc, then this isn't so bad, but spelling out the arguments in a comment above each primitive, like:

//triangle(x1, y1, x2, y2, x3, y3)

should help jog people's memories on function parameters. More variable assignments would like be better off, though.",,1,"I mentioned it earlier, but considering all of the seemingly magic numbers popping up in the shape calls, I would spell these out line by line on comments, as throwing all of these out to variables would get unruly pretty quickly.",No,1,No,No,,No,No,Both,N/A or neither,0,0,0,0,No,No,Beginner,,5,
10/24/2023 0:46:27,Kathryn,Simple Draw,https://p5js.org/examples/mobile-simple-draw.html,10,none of the above,none of the above,"createCanvas, displayHeight, displayWidth, line, mouseX, mouseY, pmouseX, pmouseY, setup, stroke, strokeWeight, touchMoved","mouseX, mouseY, pmouseX, pmouseY, stroke, touchMoved, strokeWeight",interactivity,,Interactive/Kinesthetic,Yes,No,,,,Yes,Grade 5 and below,"mouseX, mouseY, pmouseX, pmouseY",,,,,Too short to analyze.,1,,,,,,,5,,No,4,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Beginner,,1,"Good concept, could be reworked to work on desktop (there's no mobile mention within the code at all, seems to be gatekept to mobile for no reason). Canvas was buggy when I tried using it on my phone, couldn't interact with the canvas."
10/29/2023 18:08:19,Caleb,Simple Feedback,https://p5js.org/examples/3d-simple-feedback.html,48,"custom variables, method calling",none of the above,"cos, createCanvas, createGraphics, describe, draw, fill, height, image, millis, noStroke, plane, pop, push, rect, scale, setup, sin, sphere, texture, translate, WEBGL, width","createGraphics, texture, WEBGL","3D, animation",,Visual,Lightest color may be too dark,Yes,Yes,No,,Yes,Grades 7 and above,"graphics buffer, texture mapping",,,,,,5,,,,,,"millis, sin, cos",2,"It's pretty difficult to see what is actually happening, and the reader really needs to rely on the written description/comments",Yes,2,No,No,,No,No,Radians,N/A or neither,2,0,0,0,No,No,Advanced,,6,
10/24/2023 13:10:10,Amy Chen,Simple Shapes,https://p5js.org/examples/hello-p5-simple-shapes.html,24,for loop,none of the above,"background, createCanvas, ellipse, fill, noStroke, PI, rect, rotate, setup, stroke, translate, triangle","background, createCanvas, ellipse, fill, noStroke,",none of the above,Beginner ,Visual,No,No,,,,Yes,Grade 5 and below,,,,,,,4,,,,,,for loop,2,Having a for loop for basic shapes does not seem necessary. ,No,5,No,No,,No,No,Radians,radians,0,0,0,0,No,Yes,Beginner,,10,
10/31/2023 13:08:28,Amy Chen,Simple Shapes - Revised,https://p5js.org/examples/hello-p5-simple-shapes.html,24,none of the above,none of the above,"background, createCanvas, ellipse, fill, noStroke, PI, rect, rotate, setup, stroke, translate, triangle","fill, noStroke, fill, rect, stroke, translate, triangle, ellipse",none of the above,,Visual,No,No,,,,No,,,,,,,,3,,,,,"Lines 7 & 8 - Explain the colors that the values create
Line 9 - Explain how the values correlate to the position of the shape
Line 20 - Explain how the loop creates petals for the flower",,1,"Including a flower is good for showcasing the possibilities of p5 to a beginner, however, it can be daunting to see 'PI' and a for loop being used. ",No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/24/2023 19:08:17,Darren Kessner,Sine,https://p5js.org/examples/math-sine.html,23,custom variables,custom variables,"background, createCanvas, draw, ellipse, fill, height, noStroke, PI, setup, sin, width","ellipse, sin","animation, math",,Visual,Yes,Yes,Yes,The animation might qualify as flashing -- not sure.,,Yes,Grades 7 and above,sin,It's not a complete sentence.,,,,,1,,,,,,,3,"It does not demonstrate sin() well -- a simple demonstration should show the sine wave, possibly accompanied by animation of a bouncing ball to show the smooth movement.",No,5,No,No,,No,No,Radians,N/A or neither,2,3,0,0,No,Yes,Intermediate,"This example is unnecessarily intermediate.  A beginning example should show the use of sin(), the behavior of the function, and a simple illustration of usage of radians and/or degrees.",5,
10/29/2023 13:08:02,Darren Kessner,Sine : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/fP-4RSNHR,37,for loop,for loop,"angleMode, background, CENTER, circle, colorMode, createCanvas, DEGREES, draw, fill, frameCount, HSB, LEFT, line, noStroke, setup, sin, stroke, strokeWeight, text, textAlign, textSize, width","sin, HSB","animation, math",,Visual,sin values are mapped to brightness -- this might not be accessible,Yes,Yes,No,,No,,,,,,,,2,,,,,,"HSB  --- sin values could be mapped to something other than brightness, or at least bring up the contrast (use grayscale)",4,This a good mathematical demo of sin() (simpler than the sin/cos demo).  ,No,5,No,No,,No,No,Degrees,angleMode,0,1,0,0,No,Yes,Intermediate,"Intermediate for the math concepts, and for coding level.  angleMode(DEGREES) is unnecessary.",7,
10/24/2023 19:28:10,Darren Kessner,Sine Cosine,https://p5js.org/examples/math-sine-cosine.html,36,custom variables,none of the above,"background, CENTER, cos, createCanvas, draw, ellipse, fill, height, noStroke, radians, rect, rectMode, setup, sin, width","sin, cos (not especially clear)","animation, math",,Visual,The blue circles are low contrast.,Yes,Yes,No,,Yes,Grade 6,"sin, cos",,,,,"The intro paragraph says that the input angles are between 0 and 2*PI, but the example uses degrees that increase without bound.  ",1,,,,,,,3,"The first sin/cos demo should show uniform circular motion (says the opinionated math teacher).  

In this example, there is no explanation for the degree/radian conversion, or the use of radians inside sin/cos.   The example itself does not show the difference between sin and cos, or the interaction between them.",No,3,No,No,,No,No,Degrees,radians,3,6,0,0,No,Yes,Intermediate,The mathematical calculations make this example intermediate.  But I think the concepts of sin/cos and circular motion can be illustrated with a beginner example.,3,
10/29/2023 12:59:24,Darren Kessner,Sine Cosine : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/pGHOS_8ks,73,custom variables,none of the above,"angleMode, background, CENTER, circle, colorMode, cos, createCanvas, DEGREES, draw, fill, frameCount, HSB, LEFT, line, noFill, noStroke, setup, sin, stroke, strokeWeight, text, textAlign, width","sin, cos","animation, math",,Visual,Yes,Yes,Yes,No,,No,,,,,,,,4,,,,,,,4,This is a really good mathematical demonstation of the sin and cos functions.  The code itself is a bit complicated for an example.,No,4,No,No,The global variables are unnecessary (could be local),No,No,Radians,N/A or neither,2,1,0,0,No,Yes,Advanced,Advanced -- this is more of a math demo than a coding demo,8,
10/29/2023 15:55:18,Caleb,Sine Cosine in 3D,https://p5js.org/examples/3d-sine-cosine-in-3d.html,24,for loop,none of the above,"background, createCanvas, draw, frameCount, pop, push, rotateY, rotateZ, setup, sin, sphere, translate, WEBGL","rotateY, rotateZ, sin, sphere, translate, WEBGL","3D, animation",,Visual,Yes,Yes,Yes,Yes,,Yes,Grade 5 and below,,,,,"""could be applied"" seems like odd wording","The paragraph references cosine, which is not demonstrated",1,,,,,,,3,,Yes,3,No,No,,No,No,Radians,N/A or neither,0,2,0,0,No,Yes,Advanced,,1,
10/26/2023 9:33:26,Darren Kessner,Sine Wave,https://p5js.org/examples/math-sine-wave.html,43,"custom variables, custom functions","for loop, custom variables, custom functions","background, createCanvas, draw, ellipse, fill, floor, height, noStroke, PI, setup, sin, TWO_PI, width","sin, PI, TWO_PI","animation, math",,Visual,Yes,Yes,Yes,No,,Yes,Grade 5 and below,sin,,,,,This example has an author credit:  Render a simple sine wave. Original by Daniel Shiffman.,5,,,,,,"Array, floor",3,,Yes,4,No,No,,No,No,Radians,N/A or neither,6,3,0,0,No,Yes,Intermediate,Using a global array for the y-value calculation is unneccessary.,5,
10/23/2023 22:25:22,Kathryn,Slider,https://p5js.org/examples/dom-slider.html,26,"custom variables, method calling",method calling,"background, createCanvas, createSlider, draw, noStroke, setup, text, textSize, width",createSlider,interactivity,,"Visual, Interactive/Kinesthetic",Background is dictated by slider color selection,No,,,,Yes,Grade 5 and below,,,"Doesn't explain what R, G, or B mean.",,,Too short to really analyze. ,2,,,,,,,3,,Yes,3,No,No,,No,Yes,N/A,N/A or neither,3,3,0,0,No,No,Beginner,,9,
11/1/2023 10:23:37,Darren Kessner,SmokeParticles,https://p5js.org/examples/simulate-smokeparticles.html,175,"if/else, for loop, custom variables, custom functions, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom functions, custom classes, method calling, object property assignment","background, CENTER, copy, createCanvas, createVector, draw, height, image, imageMode, line, loadImage, mag, map, mouseX, pop, preload, push, randomGaussian, rotate, scale, set, setup, splice, stroke, texture, tint, translate, Vector, width","createVector, Vector, arrays","animation, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,,,Yes,Grades 7 and above,a reference on particle systems (Nature of Code?),,"Not formal: ""a port of Dan Shiffman's SmokeParticleSystem example originally for Processing. Creates smokey particles :p""",,,,5,,,,,,,3,"Nice demo, but code should be updated to use class syntax",Yes,5,Yes,No,It uses function constructor / prototype syntax for classes.,Yes,No,Radians,N/A or neither,2,11,8,10,No,Yes,Advanced,Advanced for the use of class containing a list of objects,10,"It's a great example, but it could use updating"
10/31/2023 22:34:18,Lance Cole,Snake game,https://p5js.org/examples/interaction-snake-game.html,166,"switch case, for loop, custom variables, custom functions, method calling","switch case, for loop, custom variables, custom functions, method calling","background, createCanvas, createDiv, draw, floor, frameRate, height, keyCode, line, noLoop, point, push, random, second, setup, stroke, strokeWeight, width","background, createCanvas, createDiv, draw, floor, frameRate, height, keyCode, line, noLoop, point, push, random, second, setup, stroke, strokeWeight, width","animation, game, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,Yes,Grade 5 and below,,,,,,,4,,,,,"The setup and draw functions go entirely undocumented on their inner code, and some of the globals also are left unexplained in their functions (somewhat easy to inference, but still). I also wouldn't mind seeing some more line by line commenting/documentation since this sketch is much longer than the norm and involves many moving parts.",,1,,Yes,5,No,No,,No,Yes,N/A,N/A or neither,10,7,0,0,No,Yes,Advanced,,8,
11/1/2023 10:51:51,Darren Kessner,Snowflakes,https://p5js.org/examples/simulate-snowflakes.html,57,"if/else, for loop, custom variables, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom classes, method calling, object property assignment","background, createCanvas, draw, ellipse, fill, frameCount, height, noStroke, PI, pow, push, random, setup, sin, splice, sqrt, width","ellipse, sin, pow, random","animation, math, simulation",,Visual,"I think so, but not sure -- background('brown') vs white foreground.",Yes,Yes,I think the particle movement is small enough not to be considered flashing.,,Yes,Grades 7 and above,reference for particle system,,,,,,5,,,,,"the comment ""x position follows a circle"" may be misleading -- x actually follows a sine wave in the code (but I understand the intention).",,2,"Nice demo of a particle system, including a for..of loop.  Needs to be updated to class notation.",Yes,5,No,No,Should be updated to class notation,Yes,No,Radians,N/A or neither,1,6,5,3,No,Yes,Intermediate,This is probably the best way to first introduce a particle system (without an enclosing class for the particle system).,10,
10/31/2023 13:25:41,Darren Kessner,Soft Body,https://p5js.org/examples/simulate-soft-body.html,105,"for loop, custom variables, custom functions","for loop, custom variables, custom functions","abs, beginShape, CLOSE, cos, createCanvas, curveTightness, curveVertex, draw, endShape, fill, frameRate, height, mouseX, mouseY, noStroke, radians, random, rect, setup, sin, width","curveVertex, beginShape, endShape","animation, math, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",Yes,Yes,Animation required user mouse interaction,I think the flashing is localized enough to a small part of the screen,,Yes,Grades 7 and above,"curveVertex(), spring reference",,,,,,5,,,,,,,3,,Yes,5,No,No,,No,No,N/A,N/A or neither,13,6,0,0,No,Yes,Advanced,Advanced physics simulation,7,It would be helpful to have comments regarding the high-level view of what is going on with the springing vertices.
10/24/2023 15:46:22,Amy Chen,Song,https://p5js.org/examples/hello-p5-song.html,111,"if/else, for loop, custom variables, custom functions","if/else, for loop, custom functions","createButton, createCanvas, createDiv, draw, fill, floor, height, key, map, midiToFreq, millis, mouseIsPressed, mousePressed, mouseReleased, mouseX, mouseY, rect, setup, TriOsc, width","midiToFreq, TriOsc, key, map, millis","interactivity, sound",,"Visual, Auditory, Interactive/Kinesthetic",No,No,No,No,,No,,,,,,,,4,47 - sest,,,,,,2,,Yes,4,No,No,,No,No,N/A,N/A or neither,6,3,0,0,No,Yes,Intermediate,,10,p5 sound library is needed. The web example does not play the notes
10/31/2023 15:08:21,Amy Chen,Song - Revised,https://p5js.org/examples/hello-p5-song.html,111,"if/else, while loop, custom variables","if/else, custom variables","createButton, createCanvas, createDiv, draw, fill, floor, height, key, map, midiToFreq, millis, mouseIsPressed, mousePressed, mouseReleased, mouseX, mouseY, rect, setup, TriOsc, width","mouseIsPressed, mousePressed, mouseReleased, mouseX, mouseY, midiToFreq, millis, ","animation, interactivity, sound",,"Visual, Auditory, Interactive/Kinesthetic",No,Yes,No,,,No,,,,,,,,4,,Overall the comments are written as phrases. Writing them in complete sentences would better explain the examples function. ,,,,,2,The remixable parts of this example are mainly the visuals and different keys that can be played. ,Yes,5,No,No,,No,No,N/A,N/A or neither,6,7,0,8,No,Yes,Intermediate,,9,
10/29/2023 16:05:59,Darren Kessner,Spirograph,https://p5js.org/examples/simulate-spirograph.html,64,"if/else, for loop, custom variables","if/else, for loop, custom variables","alpha, background, createCanvas, draw, ellipse, fill, float, height, key, noFill, PI, pop, push, rotate, setup, stroke, translate, TWO_PI, width","push, pop, rotate, translate","animation, math, interactivity, simulation",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,Yes,Grades 7 and above,,"Intro explains that the circles are represented by the variable ""sines"", which makes no sense.",,,,,5,,,,,,,3,"Nice demo, but variable naming needs to be fixed.   ""sines"", ""rad"", ""erad""",Yes,2,No,No,,No,No,Radians,N/A or neither,8,4,0,0,No,Yes,Advanced,Advanced for the multiple levels of push/pop + transformations,7,
10/31/2023 12:53:54,Darren Kessner,Spring,https://p5js.org/examples/simulate-spring.html,83,"custom variables, custom functions","if/else, custom variables, custom functions","abs, background, constrain, CORNERS, createCanvas, draw, fill, height, mousePressed, mouseReleased, mouseX, mouseY, noStroke, rect, rectMode, setup, width","mousePressed, mouseReleased, mouseX, mouseY, constrain","animation, math, simulation",physics,"Visual, Interactive/Kinesthetic",No,Yes,User drag required for animation,No,,Yes,Grade 6,Wikipedia or some other reference page on spring physics.,,,,,,5,,,,,The comments are very good for this example,,3,,Yes,2,No,No,,No,No,N/A,N/A or neither,15,1,0,0,No,No,Advanced,Advanced for the physics concepts ,8,Some global variables could be moved local
10/31/2023 13:08:15,Darren Kessner,Springs,https://p5js.org/examples/simulate-springs.html,139,"if/else, for loop, custom variables, custom classes, method calling, object property assignment","if/else, for loop, custom variables, object literal, custom classes, method calling","background, createCanvas, createVector, draw, ellipse, fill, mag, mousePressed, mouseReleased, mouseX, mouseY, noStroke, setup","mousePressed, mouseReleased, mouseX, mouseY","animation, math, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",Yes,Yes,Animation requires user mouse drag,No,,Yes,Grade 5 and below,Reference for spring physics,,,,,,5,,,,,,"Object picking could be improved by moving this functionality outside the Spring class
",3,,Yes,5,No,No,,Yes,No,N/A,N/A or neither,2,7,18,6,No,Yes,Advanced,Advanced for physics concepts.,8,"The example has some weird behavior on dragging.  I believe the released() function has a bug:   this.rest_posx = this.y_pos;
    this.rest_posy = this.y_pos;

I would guess that the first line should set the rest_posx from x_pos, not y_pos."
10/31/2023 13:03:32,Lance Cole,Star,https://p5js.org/examples/form-star.html,41,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","background, beginShape, CLOSE, cos, createCanvas, draw, endShape, frameCount, height, PI, pop, push, rotate, setup, sin, translate, TWO_PI, vertex, width","background, beginShape, CLOSE, cos, createCanvas, draw, endShape, frameCount, height, PI, pop, push, rotate, setup, sin, translate, TWO_PI, vertex, width",animation,,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,,,,,,"Linking to p5 documentation for the radian constants, push(), pop(), rotate(), etc, would be a huge help for the intro paragraph.",1,,,,,,,4,"If you set npoints to a negative number in a star() call, the entire patch dies and requires a reload. Within chrome, I got an ""out of memory"" error code on chrome finally giving up as well.",Yes,3,No,No,"There aren't many variables in the sketch, but I think sx and sy specifically could use a more descriptive name.",No,No,Both,N/A or neither,0,0,5,0,No,Yes,Intermediate,"Similar to the polygon example, I'm bordering between intermediate and potentially advanced on this one, due to the math and stack calls involved.",7,"Detailed commenting would take the usefulness to learners up quite a bit, as the already inherent necessary understanding of geometric math concepts like pi, radians, etc are multiplied on assuming everyone has come into contact with this sort of math already (or are proficient at it, for that matter)."
11/2/2023 11:29:15,Darren Kessner,Stepping Feet Illusion,https://p5js.org/examples/simulate-stepping-feet-illusion.html,72,"if/else, for loop, custom variables, custom functions, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom functions, custom classes, method calling, object property assignment","background, createCanvas, createP, draw, fill, height, mouseIsPressed, rect, setup, width",rect,"animation, interactivity, simulation",illusion,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,This may be considered flashing -- not sure.,,Yes,Grades 7 and above,link to reference about the optical illusion,,,,,,5,,,,,,,2,"createBrick() and createBars() should be renamed drawBrick() and drawBars(), respectively, to avoid confusion with the actual object creation",Yes,5,No,No,,No,No,N/A,N/A or neither,2,1,3,4,No,Yes,Intermediate,"This is a good, straightforward example for the use of classes.    It could also be done without classes, which would make the example even easier.",10,I hadn't seen this optical illusion -- very cool!
10/29/2023 21:02:25,Amy Chen,Storing Input,https://p5js.org/examples/input-storing-input.html,29,for loop,for loop,"background, createCanvas, draw, ellipse, fill, frameCount, mouseX, mouseY, noStroke, push, setup","frameCount, mouseX, mouseY,","animation, interactivity",,"Visual, Interactive/Kinesthetic",No,No,,,,Yes,Grades 7 and above,,,,,,,4,,,,,,,4,,Yes,4,No,No,renaming mx & my to explain its purpose would be helpful,No,No,N/A,N/A or neither,3,2,2,0,No,Yes,Beginner,,9,
